weird_dates,height,depth,date
736461.709,3.554717033,0,'11-May-2016 17:01:00.000'
736461.7299,3.554717033,0,'11-May-2016 17:30:59.999'
736461.7507,3.554717033,0,'11-May-2016 18:00:59.999'
736461.7715,3.554717033,0,'11-May-2016 18:31:00.000'
736461.7924,3.549594976,0,'11-May-2016 19:00:59.999'
736461.8132,3.549594976,0,'11-May-2016 19:30:59.999'
736461.834,3.549594976,0,'11-May-2016 20:01:00.000'
736461.8549,3.549594976,0,'11-May-2016 20:30:59.999'
736461.8757,3.549594976,0,'11-May-2016 21:00:59.999'
736461.9174,3.549594976,0,'11-May-2016 22:00:59.999'
736461.959,3.544472919,0,'11-May-2016 23:01:00.000'
736462.0007,3.544472919,0,'12-May-2016 00:00:59.999'
736462.0424,3.544472919,0,'12-May-2016 01:00:59.999'
736462.084,3.544472919,0,'12-May-2016 02:01:00.000'
736462.1257,3.544472919,0,'12-May-2016 03:00:59.999'
736462.1701,3.544472919,0,'12-May-2016 04:05:00.000'
736462.209,3.544472919,0,'12-May-2016 05:01:00.000'
736462.2507,3.544472919,0,'12-May-2016 06:00:59.999'
736462.2924,3.544472919,0,'12-May-2016 07:00:59.999'
736462.334,3.544472919,0,'12-May-2016 08:01:00.000'
736462.3549,3.539350861,0,'12-May-2016 08:30:59.999'
736462.3757,3.539350861,0,'12-May-2016 09:00:59.999'
736462.3965,3.539350861,0,'12-May-2016 09:31:00.000'
736462.4174,3.544472919,0,'12-May-2016 10:00:59.999'
736462.4382,3.544472919,0,'12-May-2016 10:30:59.999'
736462.459,3.544472919,0,'12-May-2016 11:01:00.000'
736462.4799,3.544472919,0,'12-May-2016 11:30:59.999'
736462.5007,3.549594976,0,'12-May-2016 12:00:59.999'
736462.5215,3.549594976,0,'12-May-2016 12:31:00.000'
736462.5424,3.544472919,0,'12-May-2016 13:00:59.999'
736462.5632,3.544472919,0,'12-May-2016 13:30:59.999'
736462.584,3.544472919,0,'12-May-2016 14:01:00.000'
736462.6049,3.544472919,0,'12-May-2016 14:30:59.999'
736462.6257,3.544472919,0,'12-May-2016 15:00:59.999'
736462.6465,3.544472919,0,'12-May-2016 15:31:00.000'
736462.6674,3.544472919,0,'12-May-2016 16:00:59.999'
736462.6882,3.539350861,0,'12-May-2016 16:30:59.999'
736462.709,3.544472919,0,'12-May-2016 17:01:00.000'
736462.7299,3.539350861,0,'12-May-2016 17:30:59.999'
736462.7507,3.539350861,0,'12-May-2016 18:00:59.999'
736462.7715,3.544472919,0,'12-May-2016 18:31:00.000'
736462.7924,3.544472919,0,'12-May-2016 19:00:59.999'
736462.8132,3.544472919,0,'12-May-2016 19:30:59.999'
736462.834,3.544472919,0,'12-May-2016 20:01:00.000'
736462.8563,3.544472919,0,'12-May-2016 20:33:00.000'
736462.8757,3.544472919,0,'12-May-2016 21:00:59.999'
736462.9174,3.544472919,0,'12-May-2016 22:00:59.999'
736462.959,3.539350861,0,'12-May-2016 23:01:00.000'
736463.0007,3.539350861,0,'13-May-2016 00:00:59.999'
736463.0424,3.539350861,0,'13-May-2016 01:00:59.999'
736463.084,3.539350861,0,'13-May-2016 02:01:00.000'
736463.1257,3.539350861,0,'13-May-2016 03:00:59.999'
736463.1674,3.539350861,0,'13-May-2016 04:00:59.999'
736463.2104,3.539350861,0,'13-May-2016 05:03:00.000'
736463.2521,3.539350861,0,'13-May-2016 06:02:59.999'
736463.2924,3.534228804,0,'13-May-2016 07:00:59.999'
736463.334,3.539350861,0,'13-May-2016 08:01:00.000'
